count	reward_sum	squared_reward_sum	length
492	-45.87308958452195	10022.999033870006	184
493	327.01327332668006	164.18549605438406	745
494	195.71475770045072	10153.687010884487	644
495	327.37014049477875	163.97726975993493	734
496	327.98827212676406	167.04730261646236	720
497	145.91948719788343	10125.201430380192	554
498	132.20832116622478	10121.032241905139	509
499	328.7689453009516	166.17348346900246	729
500	210.68144929036498	10157.986249931615	714
501	329.6161214634776	167.0127792099037	713
502	330.1273694066331	166.0063266938351	720
503	328.9705804316327	167.05516056105284	724
504	328.6913799569011	164.50090458283984	741
505	328.38936349749565	162.66035770745322	739
506	329.31107721757144	164.4248164716031	725
507	325.90504810307175	157.10355615278303	773
508	328.2169567933306	161.30365521692232	752
509	327.867861780338	159.9865496350897	752
510	328.517412295565	167.4593872462032	725
511	326.569754649885	157.9486729724164	764
512	326.99949376657605	157.8010430665658	771
513	325.47188677825034	158.29078546553401	763
514	327.0139117818326	166.81201528891592	724
515	327.65617143176496	158.71154143368548	758
516	328.8675157055259	164.02648976140617	734
517	328.02728794142604	162.32288968349087	737
518	60.480395371094346	10073.277607242264	411
519	330.0136459618807	165.1017751215752	730
520	322.77278120443225	162.99261297953234	714
521	329.64884938672185	166.29881012641187	726
522	328.41871534939855	162.92630137931093	736
523	328.65866805706173	164.9513989734378	730
524	326.89601348154247	154.47949442147967	789
525	329.11210387572646	162.17746280542718	744
526	328.9717990057543	163.63304633239852	737
527	327.0238238144666	159.17503137975763	744
528	329.2937701623887	172.41925442927652	702
529	329.8256758134812	166.9766588125961	719
530	328.60898649226874	164.30383321039108	735
531	329.06737438216805	167.9836516381107	718
532	65.94344158656895	10077.38782788288	421
533	-4.68502392899245	10045.171349862736	258
534	328.8385285632685	167.28385472243548	725
535	-11.234377671964467	10042.866871064221	233
536	328.2498416658491	166.62597299535503	722
537	329.0350958900526	168.7888033336567	712
538	329.08594043552876	165.6540576289823	729
539	330.0444616638124	167.9365201827955	717
540	329.2671273369342	167.51787564821922	717
541	329.86663767229766	169.0994203797502	711
542	329.5931118428707	168.21584068328298	715
543	330.18310259189457	166.31831456576992	725
544	328.2250425629318	162.41984803652997	737
545	328.8904227167368	168.85358111070258	711
546	321.7579834992066	159.97088740360942	724
547	173.50504252314568	10137.671081904467	619
548	86.0365458149463	10095.540470399488	416
549	327.9709420958534	175.2691423042788	685
550	327.4929685546085	166.58152375129907	721
551	329.35183582105674	172.73255950575938	703
552	329.3510927539319	176.85744140049496	677
553	-10.34984416514635	10042.361502595933	241
554	328.58018032833934	171.96312061710722	702
555	329.333790644072	173.61756796714207	698
556	328.7355053499341	173.15050642846717	692
557	329.1008730069734	164.84182605190853	737
558	328.28467960469425	165.55663302903	722
559	327.38947986532	162.869889695137	738
560	325.3888618047349	165.27388660319065	719
561	328.73077158723027	170.15039180125598	706
562	327.73544519301504	168.22281677894222	713
563	328.6015626722947	164.4533443863601	730
564	327.2064467212185	160.946968861363	740
565	328.4116012211889	162.10657298649863	736
566	328.8603368429467	166.05734582697102	735
567	327.2612409517169	162.6762920749809	742
568	325.9163118391298	164.59483699127304	738
569	327.5836500423029	169.76847789688105	713
570	327.9174232939258	165.8644144614485	720
571	326.7513357261196	161.96687043108727	749
572	327.3699877494946	171.09472899611808	707
573	328.8325997348875	176.5114983026129	681
574	327.96842225827277	169.4697421916427	703
