count	reward_sum	squared_reward_sum	length
350	-106.55826397662132	10008.106365473794	606
351	-90.31428366191902	13.567488820907197	2000
352	-98.37007906353482	10003.307043100842	133
353	-73.62998788869767	20.177797825105333	2000
354	-120.06755399158148	12.86394774420122	2000
355	-97.32122993653572	10006.71466872645	415
356	-92.16676650321448	10007.506253471925	264
357	-87.71931632354162	10007.216562693919	329
358	-88.11277517201897	10006.239182618876	356
359	-91.28174567878669	10005.030751349937	222
360	-82.36828439309694	10007.035912052734	213
361	-116.96009111777306	10011.798408394734	986
362	-87.99945200347355	31.278987909666487	2000
363	-96.54420497046434	10005.748468771655	352
364	-94.51698791749345	11.95451514107294	2000
365	-80.88861278789014	11.647125034070138	2000
366	-79.18813035305814	8.951143059095328	2000
367	-70.60837070883785	12.319534117056778	2000
368	-97.93972694440637	11.337208617786997	2000
369	-121.52111832128946	10011.095966807892	69
370	-106.90112815949982	10006.739392353058	560
371	-139.40676179500198	10012.879752383078	1464
372	-67.44395768123138	5.742564482809354	2000
373	-140.08551473332687	10009.468372735804	1481
374	-144.82390928430564	10013.553725438864	1462
375	-139.1276853677889	11.25558110988272	2000
376	-93.14677138191463	19.392203979509677	2000
377	-109.19381836714017	10006.245958790621	585
378	-99.3567049298479	8.933935959062444	2000
379	-75.85844059868565	10.477450708225167	2000
380	-99.21545025534881	10007.81421406115	405
381	-123.7612545747653	10012.040228148911	96
382	-92.6464469743915	10005.796394013494	300
383	-112.43346096046727	10016.344318652094	1101
384	-88.44636082821235	12.938975454814337	2000
385	-121.08151285548206	10018.68266138448	218
386	-88.52543156696608	10008.051015316254	179
387	-70.25916637672957	10009.593914209663	268
388	-109.75326432945953	10001.721850405245	64
389	-88.97404264381247	10004.620042512672	216
390	-115.16596347782925	12.62828367247519	2000
391	-74.16970161268793	10009.004709164767	293
392	-76.24661797901469	12.720369694519935	2000
393	-94.48723849845938	10004.029106838088	186
394	-78.88145334004376	12.56776457106489	2000
395	-134.6832221737888	10023.379195384341	88
396	-112.94789154746888	10005.29036394694	60
397	-120.489106690677	10012.743134403538	112
398	-101.77015381020334	10006.021563148353	248
399	-87.33392445699297	10010.609036081192	270
400	-71.34567173627516	12.719172635022607	2000
401	-106.3696715666924	10003.624247289927	130
402	-174.25371527824066	10028.310726051439	1749
